Incident Type,Complaint Tracking Number,Date Complaint Occurred,Date Complaint Received by NOPD (PIB),Date Complaint Investigation Complete,Complaint classification,Investigation status,Disposition,Bureau of Complainant,Division of Complainant,Unit of Complainant,Unit Additional Details of Complainant,Working Status of Complainant,Shift of Complainant,Rule Violation,Paragraph Violation,Unique Officer Allegation ID,Officer Race Ethnicity,Officer Gender,Officer Age,Officer years of service,Complainant Gender,Complainant Ethnicity,Complainant Age
Public Initiated,2016-0051-P,2016-01-28,2016-02-08,2016-06-15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31422,Black,Male,39,,,,
Public Initiated,2016-0051-P,2016-01-28,2016-02-08,2016-06-15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31425,Black,Male,56,,,,
Public Initiated,2016-0051-P,2016-01-28,2016-02-08,2016-06-15,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,Day Watch,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31428,Black,Male,51,,,,
Public Initiated,2016-0062-P,2016-01-24,2016-02-09,2016-06-08,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31442,White,Male,28,,Female,White,29
Public Initiated,2016-0062-P,2016-01-24,2016-02-09,2016-06-08,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31444,Black,Male,27,,Female,White,29
Rank Initiated,2016-0094-R,2016-02-10,2016-02-10,2016-05-26,DI-1,Completed,Sustained,MSB - Management Services Bureau,Police Recruits,,,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31454,Black,Male,29,,,,
Public Initiated,2016-0050-P,2016-01-11,2016-01-28,2016-07-21,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,4th District,6th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31462,White,Male,32,,Female,Black,39
Public Initiated,2016-0089-N,2015-07-27,2016-02-08,2016-03-23,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,,,,,31561,,,,,Female,Black,67
Public Initiated,2016-0096-P,2016-01-30,2016-02-05,2017-02-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31474,Black,Female,33,,Female,Black,31
Public Initiated,2016-0096-P,2016-01-30,2016-02-05,2017-02-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31476,Black,Male,38,,Female,Black,31
Public Initiated,2016-0096-P,2016-01-30,2016-02-05,2017-02-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,A Platoon,,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31477,Black,Female,42,,Female,Black,31
Public Initiated,2016-0099-P,2016-02-04,2016-02-10,2017-03-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31497,White,Male,30,,Male,Black,38
Public Initiated,2016-0100-P,2016-02-10,2016-02-10,2016-09-30,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Alternative Police Response,Alternative Police Response,,Unknown Working Status,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31499,Black,Male,36,,Male,Black,25
Public Initiated,2016-0092-P,2016-02-07,2016-02-13,2017-08-25,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,DUI 2009-0665-R,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31500,Black,Female,35,,Male,Black,22
Public Initiated,2016-0092-P,2016-02-07,2016-02-13,2017-08-25,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,D.I.U.,Persons,DUI 2009-0665-R,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31501,Black,Male,43,,Male,Black,22
Public Initiated,2016-0101-N,,2016-02-13,2016-03-03,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,Staff,,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31505,,,,,Male,White,
Public Initiated,2016-0073-P,2016-01-22,2016-02-02,2016-05-26,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31516,Black,Male,36,,Female,Race-Unknown,
Public Initiated,2016-0075-N,2016-01-31,2016-02-02,2016-03-23,NFIM,Completed,NFIM,FOB - Field Operations Bureau,3rd District,3rd District,Patrol,Regular Working,Between 7am-3pm,,,31568,White,Male,47,,Male,Black,40
Public Initiated,2016-0066-N,2016-11-13,2016-02-01,2016-03-09,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31665,White,Male,44,,Male,Black,48
Public Initiated,2016-0068-N,2016-01-17,2016-02-01,2016-03-23,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO ALLIGATIONS ASSIGNED AT THIS TIME,,32619,,,,,Female,White,55
Rank Initiated,2016-0080-R,2016-02-05,2016-02-15,2017-10-16,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31529,Black,Male,47,,,,
Public Initiated,2016-0064-N,2016-01-31,2016-02-01,2016-03-09,NFIM,Completed,NFIM,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,NO VIOLATION OBSERVED,,31666,,,,,,,
Public Initiated,2016-0082-P,2016-02-04,2016-02-15,2016-06-16,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,2nd District,Staff,,Unknown Working Status,Unknown Shift Hours,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31531,,,,,Male,White,42
Public Initiated,2016-0088-N,2016-02-06,2016-02-10,2016-03-03,NFIM,Completed,NFIM,,Not Nopd,,,,,NO VIOLATION OBSERVED,,31664,,,,,,,
Public Initiated,2016-0088-N,2016-02-06,2016-02-10,2016-03-03,NFIM,Completed,NFIM,,Not Nopd,,,,,NO VIOLATION OBSERVED,,31664,,,,,,,
Public Initiated,2016-0083-P,2016-02-05,2016-02-05,2016-06-16,DI-1,Completed,Not Sustained,ISB - Investigative Services Bureau,ISB Staff,Court Liaison,Special Assignment,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31547,Black,Male,58,,Male,Race-Unknown,35
Public Initiated,2016-0053-P,2016-01-26,2016-02-01,2016-03-09,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31589,White,Male,27,,Female,Hispanic,34
Public Initiated,2016-0145-P,2016-02-28,2016-03-01,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,,,33610,Black,Female,25,,Female,Black,39
Public Initiated,2016-0053-P,2016-01-26,2016-02-01,2016-03-09,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31587,Black,Male,40,,Female,Hispanic,34
Public Initiated,2016-0067-P,,2016-02-01,2017-03-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,,,31571,Asian/Pacific Islander,Male,,,Male,Black,
Public Initiated,2016-0067-P,,2016-02-01,2017-03-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,,,31577,Black,Male,,,Male,Black,
Public Initiated,2016-0067-P,,2016-02-01,2017-03-13,DI-1,Completed,Sustained,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,Regular Working,,,,33998,Black,Male,,,Male,Black,
Public Initiated,2016-0085-P,2016-02-06,2016-02-07,2017-03-27,DI-1,Completed,Sustained,FOB - Field Operations Bureau,2nd District,C Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31612,White,Male,37,,Male,White,40
Public Initiated,2016-0107-P,2016-02-01,2016-02-15,2016-07-31,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,Task Force A,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31614,White,Male,46,,Male,Black,27
Public Initiated,2016-0107-P,2016-02-01,2016-02-15,2016-07-31,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,3rd District,Task Force A,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31616,White,Male,47,,Male,Black,27
Public Initiated,2016-0097-P,2016-01-23,2016-02-10,2017-03-21,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31638,White,Male,32,,Female,Black,29
Public Initiated,2016-0079-P,2016-02-03,2016-02-05,2016-06-08,DI-1,Completed,Not Sustained,MSB - Management Service Bureau,Records & Identification / Support Services Divisi,Support Services,Staff,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31640,Black,Female,38,,Female,Black,43
Rank Initiated,2016-0093-R,2016-02-09,2016-02-10,2017-12-29,DI-1,Completed,Sustained,Office of the Superintendant,Technology Section,Administration,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,31642,White,Male,44,,,,
Public Initiated,2016-0114-P,2016-02-15,2016-02-17,2018-05-14,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Night Watch,,RUI 2012-0947-C,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31658,Black,Male,32,,Female,Black,37
Public Initiated,2016-0049-N,,2016-01-24,2016-03-03,NFIM,Completed,NFIM,FOB - Field Operations Bureau,2nd District,B Platoon,,,,NO VIOLATION OBSERVED,,31678,White,Male,,,Female,White,
Public Initiated,2016-0087-P,2016-02-07,2016-02-08,2016-03-23,Mediation,Completed,Withdrawn - Mediation,FOB - Field Operations Bureau,4th District,Evening Watch,Patrol,Regular Working,Between 11pm-7am,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31679,Black,Female,28,,Female,Black,20
Rank Initiated,2016-0106-R,2016-02-15,2016-02-16,2016-11-15,DI-1,Completed,Sustained,FOB - Field Operations Bureau,Reserve Division,,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31683,Not Specified,Male,73,,,,
Public Initiated,2016-0104-N,2016-02-09,2016-02-15,2016-03-26,NFIM,Completed,NFIM,,Unknown District/Division,,,,,NO VIOLATION OBSERVED,,31795,,,,,Female,Race-Unknown,
Rank Initiated,2016-0122-R,2015-05-25,2016-02-22,2017-08-16,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,Task Force,B,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31701,Black,Male,41,,,,
Rank Initiated,2016-0122-R,2015-05-25,2016-02-22,2017-08-16,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,Task Force,B,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31703,Black,Male,43,,,,
Public Initiated,2016-0108-P,2016-02-09,2016-02-16,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31705,Black,Male,33,,Female,Black,49
Public Initiated,2016-0108-P,2016-02-09,2016-02-16,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31707,White,Male,40,,Female,Black,49
Public Initiated,2016-0108-P,2016-02-09,2016-02-16,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31709,Black,Male,61,,Female,Black,49
Public Initiated,2016-0095-P,2016-02-10,2016-02-11,2018-06-21,DI-1,Completed,Sustained,MSB - Management Services Bureau,Technology Section,Staff,Adminstrative Staff,Off Duty,Between 7am-3pm,RULE 3: PROF CONDUCT,PARAGRAPH 02 -Abuse of Position,31715,White,Male,44,,Male,White,
Rank Initiated,2016-0125-R,2016-02-22,2016-02-22,2017-02-20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31711,Black,Male,38,,,,
Rank Initiated,2016-0125-R,2016-02-22,2016-02-22,2017-02-20,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31713,White,Male,54,,,,
Public Initiated,2016-0090-P,,2016-02-08,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31747,Black,Female,,,Female,Black,
Public Initiated,2016-0090-P,,2016-02-08,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31748,White,Male,,,Female,Black,
Public Initiated,2016-0090-P,,2016-02-08,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,A Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31749,Black,Male,,,Female,Black,
Public Initiated,2016-0120-P,2016-02-13,2016-02-23,2016-07-31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31762,White,Male,39,,Female,Black,25
Public Initiated,2016-0120-P,2016-02-13,2016-02-23,2016-07-31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31764,,,,,Female,Black,25
Public Initiated,2016-0120-P,2016-02-13,2016-02-23,2016-07-31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34077,White,Male,38,,Female,Black,25
Public Initiated,2016-0120-P,2016-02-13,2016-02-23,2016-07-31,DI-1,Completed,Unfounded,FOB - Field Operations Bureau,3rd District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,34079,Black,Male,48,,Female,Black,25
Public Initiated,2016-0105-P,2015-12-01,2016-02-15,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,Task Force A,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31772,Black,Male,33,,Female,Black,54
Public Initiated,2016-0105-P,2015-12-01,2016-02-15,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,Task Force A,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31774,Hispanic,Male,27,,Female,Black,54
Public Initiated,2016-0105-P,2015-12-01,2016-02-15,2017-03-22,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,1st Platoon,Task Force A,Regular Working,Between 3pm-11pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31776,Hispanic,Male,50,,Female,Black,54
Public Initiated,2016-0130-P ,2016-02-21,2016-02-21,2017-12-05,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,7th District,Staff,,,,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31777,Black,Male,49,,Female,Black,27
Public Initiated,2016-0131-N,2016-02-19,2016-02-24,2016-03-26,NFIM,Completed,NFIM,FOB - Field Operations Bureau,5th District,Task Force,A Platoon,,,NO VIOLATION OBSERVED,,31789,Black,Male,32,,Female,White,53
Public Initiated,2016-0121-P,2016-02-20,2016-02-22,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31792,Black,Male,32,,Male,Black,66
Public Initiated,2016-0121-P,2016-02-20,2016-02-22,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,,,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31794,Black,Female,40,,Male,Black,66
Rank Initiated,2016-0128-R,2016-02-22,2016-02-23,2016-07-26,DI-1,Completed,Sustained,FOB - Field Operations Bureau,8th District,C Platoon,,,,RULE 3: PROF CONDUCT,PARAGRAPH 07 - Use of Drugs/Substance Abuse Testing,31814,White,Male,36,,,,
Rank Initiated,2016-0140-R,2015-04-14,2016-02-24,2017-05-11,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,Squad 1,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31818,White,Male,41,,,,
Rank Initiated,2016-0140-R,2015-04-14,2016-02-24,2017-05-11,DI-1,Completed,Other,FOB - Field Operations Bureau,7th District,Day Watch,Squad 1,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31820,White,Male,49,,,,
Public Initiated,2016-0117-P,2016-02-17,2016-02-17,2019-11-20,DI-1,Completed,Not Sustained,Unknown Bureau,Unknown District/Division,Unknown,Unknown Assignment,Unknown Working Status,Unknown Shift Hours,RULE 2: MORAL CONDUCT,PARAGRAPH 05 - VERBAL INTIMIDATION,31834,,,,,Male,Black,
Rank Initiated,2016-0032-R,2015-10-24,2016-01-20,2017-05-15,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31841,Black,Male,51,,,,
Rank Initiated,2016-0032-R,2015-10-24,2016-01-20,2017-05-15,DI-1,Completed,Other,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31843,Black,Male,51,,,,
Rank Initiated,2016-0141-R,2015-07-22,2016-02-24,2017-06-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Day Watch,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31846,White,Female,30,,,,
Rank Initiated,2016-0141-R,2015-07-22,2016-02-24,2017-06-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Day Watch,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31848,White,Male,27,,,,
Rank Initiated,2016-0141-R,2015-07-22,2016-02-24,2017-06-28,DI-1,Completed,Sustained,FOB - Field Operations Bureau,1st District,Day Watch,Patrol,Unknown Working Status,Unknown Shift Hours,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31850,American Indian/Alaska Native,Male,56,,,,
Public Initiated,2016-0129-N,2016-02-09,2016-02-24,2016-06-09,NFIM,Completed,NFIM,FOB - Field Operations Bureau,1st District,1st Platoon,,,,NO VIOLATION OBSERVED,,31968,Black,Male,48,,Male,Black,59
Public Initiated,2016-0102-P,2016-02-11,2016-02-24,2016-06-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31856,White,Male,35,,Female,Black,38
Public Initiated,2016-0102-P,2016-02-11,2016-02-24,2016-06-16,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,RULE 3: PROF CONDUCT,PARAGRAPH 01 - Professionalism,31858,White,Male,28,,Female,Black,38
Public Initiated,2016-0086-N,2016-02-07,2016-02-08,2016-03-26,NFIM,Completed,NFIM,FOB - Field Operations Bureau,Unknown District/Division,Unknown,Patrol,Regular Working,Between 11pm-7am,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31866,,,,,Male,Hispanic,33
Public Initiated,2016-0091-N,2016-02-07,2016-02-09,2016-03-26,NFIM,Completed,NFIM,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,NO VIOLATION OBSERVED,,31871,White,Male,51,,Female,Black,56
Public Initiated,2016-0109-P,2016-02-16,2016-02-16,2017-06-06,DI-1,Completed,Sustained,FOB - Field Operations Bureau,7th District,7th District,Patrol,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31873,Black,Male,60,,Female,Black,26
Public Initiated,2016-0110-P,2016-02-05,2016-02-16,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,Staff,Adminstrative Staff,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31875,Black,Male,41,,Male,White,47
Public Initiated,2016-0110-P,2016-02-05,2016-02-16,2016-06-09,DI-1,Completed,Exonerated,FOB - Field Operations Bureau,5th District,Staff,Adminstrative Staff,Regular Working,Between 7am-3pm,RULE 4: PERF OF DUTY,PARAGRAPH 04 - NEGLECT OF DUTY,31990,Black,Male,47,,Male,White,47
Public Initiated,2016-0113-P,2016-02-09,2016-02-16,2016-12-02,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Unknown District/Division,Mounted,Unknown Assignment,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31877,,,,,Female,Black,59
Public Initiated,2016-0113-P,2016-02-09,2016-02-16,2016-12-02,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Unknown District/Division,Mounted,Unknown Assignment,Regular Working,Between 3pm-11pm,RULE 4: PERF OF DUTY,PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE,31878,,,,,Female,Black,59
Public Initiated,2016-0103-P,2016-02-11,2016-02-12,2017-03-07,DI-1,Completed,Not Sustained,FOB - Field Operations Bureau,Unknown District/Division,Homicide Section,Patrol,Regular Working,Between 7am-3pm,RULE 2: MORAL CONDUCT,PARAGRAPH 01 - ADHERENCE TO LAW,31879,White,Female,37,,,,
