PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2018-0246,07/07/2018,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,30 | 23 | 26,7 | 6 | 6,,,,,,,,,,,Flight from an Officer,No | No | No
FTN2022-0061,02/12/2022,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Takedown (w/injury),L1 | L2,,No | Yes,Black | Black,Male | Male,25 | 25,3 | 3,,,,,,,,,,,Weapon Exhibited,No | No
FTN2017-0619,12/10/2017,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,CEW Exhibited/Laser | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,Black | Black | Black | White | White,Female | Female | Male | Male | Male,48 | 37 | 33 | 33 | 43,28 | 18 | 8 | 18 | 25,,,,,,,,,,,refuse verbal commands,No | No | No | No | No
FTN2017-0623,12/12/2017,FOB - Field Operations Bureau,1st District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands | Force (Take Down),L1 | L1 | L2,,Yes | Yes | Yes,White | Hispanic | Hispanic,Male | Male | Male,36 | 29 | 29,12 | 7 | 7,,,,,,,,,,,Other,No | No | No
FTN2017-0626,12/12/2017,FOB - Field Operations Bureau,5th District,Task Force,,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Other,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,Asian/Pacific Islander | White | Black | Black,Male | Female | Male | Male,34 | 29 | 28 | 33,14 | 10 | 8 | 15,,,,,,,,,,,refuse verbal commands,No | No | No | No
FTN2017-0625,12/13/2017,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Hispanic | Asian/Pacific Islander | Asian/Pacific Islander,Male | Male | Male,37 | 25 | 25,11 | 7 | 7,,,,,,,,,,,Other,No | No | No
FTN2017-0628,12/14/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,36,15,,,,,,,,,,,Other,No
FTN2017-0632,12/17/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,27,8,,,,,,,,,,,Weapon Exhibited,No
FTN2022-0078,02/26/2022,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,Black | Black,Male | Female,34 | 35,7 | 6,,,,,,,,,,,Resisting Officer w/Weapon,No | No
FTN2022-0080,02/26/2022,FOB - Field Operations Bureau,8th District,B Platoon,Second Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands,L1,,Yes,White,Male,25,3,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2022-0100,03/19/2022,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands,L1,,No,Black,Male,39,15,,,,,,,,,,,Flight from an Officer,No
FTN2022-0102,03/20/2022,FOB - Field Operations Bureau,8th District,8th District,Patrol,,,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,40 | 23,8 | 3,,,,,,,,,,,Weapon Exhibited,No | No
FTN2017-0490,09/14/2017,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment,L2,,No,White,Male,39,17,,,,,,,,,,,Other,No
FTN2017-0493,09/15/2017,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Force (Defense Tech) | Force (Defense Tech),L1 | L2 | L2,,Yes | Yes | Yes,Black | Black | Not Specified,Male | Male | Male,29 | 29 | 28,10 | 10 | 8,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2018-0006,01/07/2018,FOB - Field Operations Bureau,Reserve Division,,,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,Head Strike (No Wep),L3,,Yes,Black,Male,61,19,,,,,,,,,,,Other,No
FTN2017-0635,12/20/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | Asian/Pacific Islander,Female | Male,42 | 23,15 | 5,,,,,,,,,,,Other,No | No
FTN2017-0644,12/24/2017,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,,Yes | Yes,Black | Black,Male | Male,41 | 41,17 | 17,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2017-0643,12/24/2017,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser,L1 | L1,,Yes | Yes,Hispanic | Black,Male | Male,40 | 23,6 | 6,,,,,,,,,,,Weapon Exhibited,No | No
FTN2017-0649,12/29/2017,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,31,6,,,,,,,,,,,refuse verbal commands,No
FTN2017-0651,12/31/2017,FOB - Field Operations Bureau,7th District,K9 Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited),L1 | L1 | L2 | L1,,Yes | Yes | Yes | No,Black | Black | Black | White,Female | Male | Male | Male,35 | 46 | 46 | 51,7 | 22 | 22 | 35,,,,,,,,,,,Flight from an Officer,No | No | No | No
FTN2018-0001,01/01/2018,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment | Force (Take Down),L2 | L2,,Yes | No,Black | White,Male | Male,29 | 27,6 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | Yes
FTN2021-0219,07/16/2021,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Initial,Pending,Call for Service,Good,Clear Conditions,Other,L1,,Yes,Black,Male,40,8,,Female,White,32,Small,5'7'' to 5'9'',No,No,No,,Flight from an Officer,No
FTN2018-0004,01/04/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Task Force A,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,30 | 34,10 | 9,,,,,,,,,,,Flight from an Officer,No | No
FTN2018-0005,01/06/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited) | CEW Exhibited/Laser,L1 | L1,,Yes | Yes,Asian/Pacific Islander | Black,Male | Male,33 | 50,16 | 20,,,,,,,,,,,Tactical Deployments,No | No
FTN2018-0011,01/11/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,,Yes,Black,Male,48,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2018-0012,01/11/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,49,25,,,,,,,,,,,Weapon Exhibited,No
FTN2018-0017,01/14/2018,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Resigned,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,CEW Deployment | Hands | Hands | Hands | Hands,L2 | L1 | L1 | L1 | L1,,Yes | No | No | No | No,White | Hispanic | White | Black | Black,Female | Male | Male | Female | Male,32 | 30 | 26 | 34 | 32,7 | 7 | 7 | 7 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No | No
FTN2018-0036,01/18/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | Black,Male | Male,41 | 30,20 | 10,,,,,,,,,,,Other,No | No
FTN2018-0024,01/19/2018,Office of the Superintendant,Staff Division,Compliance Section,,Paid Detail,Between 11pm-7am,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Force (Take Down),L2,,Yes,White,Male,51,31,,,,,,,,,,,Battery on Police Officer,Yes
FTN2018-0029,01/24/2018,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,28,8,,,,,,,,,,,refuse verbal commands,No
FTN2018-0035,01/24/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,Black | White,Male | Male,29 | 34,13 | 11,,,,,,,,,,,Other,No | No
FTN2018-0031,01/26/2018,ISB - Investigations and Support Bureau,Special Investigations Division,Narcotics Section,Narcotics,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Other,L1,,Yes,White,Male,54,31,,,,,,,,,,,Flight from an Officer,No
FTN2018-0032,01/27/2018,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,Rifle (Pointed),L1,,Yes,White,Male,40,17,,,,,,,,,,,Other,No
FTN2017-0495,09/17/2017,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,Black,Female,35,6,,,,,,,,,,,Resisting Lawful Arrest,No
FTN2019-0005,01/02/2019,FOB - Field Operations Bureau,4th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,34,6,,,,,,,,,,,Flight from an Officer,No
FTN2018-0033,01/28/2018,FOB - Field Operations Bureau,3rd District,,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,White,Male,40,8,,,,,,,,,,,refuse verbal commands,Yes
FTN2018-0041,02/04/2018,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,Black | White,Male | Male,33 | 34,6 | 6,,,,,,,,,,,refuse verbal commands,Yes | Yes
FTN2018-0042,02/05/2018,FOB - Field Operations Bureau,1st District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Female,40,18,,,,,,,,,,,Other,No
FTN2018-0043,02/05/2018,FOB - Field Operations Bureau,2nd District,Narcotics,Narcotics,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,42,8,,,,,,,,,,,Flight from an Officer,No
FTN2018-0044,02/06/2018,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,No | No,White | White,Female | Female,27 | 31,7 | 7,,,,,,,,,,,refuse verbal commands,No | No
FTN2018-0052,02/11/2018,FOB - Field Operations Bureau,7th District,,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Heavy,Force (Take Down),L2,,Yes,Black,Male,45,8,,,,,,,,,,,refuse verbal commands,No
FTN2018-0056,02/12/2018,FOB - Field Operations Bureau,3rd District,,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,36 | 47,15 | 15,,,,,,,,,,,Flight from an Officer,No | No
FTN2018-0055,02/12/2018,FOB - Field Operations Bureau,7th District,D.I.U.,Squad 2,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,52,20,,,,,,,,,,,Weapon Exhibited,No
FTN2018-0057,02/13/2018,FOB - Field Operations Bureau,8th District,B Platoon,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Baton/PR-24 (Strike),L1 | L3,,Yes | No,White | White,Male | Male,30 | 30,8 | 8,,,,,,,,,,,refuse verbal commands,No | No
FTN2019-0066,02/20/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Hands | Rifle (Pointed) | Rifle (Pointed) | Hands | Rifle (Pointed),L1 | L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes | Yes,Black | Black | White | Not Specified | Not Specified,Male | Male | Male | Male | Male,30 | 30 | 39 | 30 | 30,13 | 13 | 19 | 8 | 8,,,,,,,,,,,refuse verbal commands,No | No | No | No | No
FTN2020-0170,06/16/2020,FOB - Field Operations Bureau,5th District,B Platoon,,Regular Working,Between 3pm-11pm,Completed,,Arresting,Good,Clear Conditions,Hands,L1,,Yes,White,Male,28,6,,,,,,,,,,,refuse verbal commands,No
FTN2018-0060,02/13/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Head Strike (No Wep),L1 | L3,,Yes | Yes,White | White,Male | Male,63 | 63,29 | 29,,,,,,,,,,,Battery on Police Officer,No | No
FTN2018-0061,02/14/2018,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Foggy Condition,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | Hispanic,Female | Male,43 | 28,15 | 6,,,,,,,,,,,Other,No | No
FTN2018-0063,02/14/2018,ISB - Investigations and Support Bureau,Special Investigations Division,Street Gang Unit,Squad A,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,30,13,,,,,,,,,,,Flight from an Officer,No
FTN2018-0064,02/15/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,Hispanic | White | Black | White,Male | Male | Male | Male,43 | 31 | 33 | 27,22 | 6 | 13 | 6,,,,,,,,,,,Other,No | No | No | No
FTN2018-0077,02/16/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Hands | Force (Take Down),L1 | L1 | L2,,Yes | Yes | Yes,Hispanic | Black | Black,Male | Male | Male,31 | 22 | 22,14 | 5 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | No
FTN2018-0076,02/25/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,,Yes | Yes,Black | White,Female | Male,33 | 27,6 | 6,,,,,,,,,,,refuse verbal commands,No | No
FTN2018-0109,02/25/2018,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,,Yes | Yes,White | White,Male | Male,25 | 34,6 | 6,,,,,,,,,,,Weapon Exhibited,No | No
FTN2018-0080,03/01/2018,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Canine (No Bite),L2,,Yes,Black,Male,47,22,,,,,,,,,,,Flight from an Officer,No
FTN2020-0249,08/26/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Canine (No Bite) | Force (Escort Tech) | Hands,L2 | L1 | L1,,Yes | Yes | Yes,Black | White | Black,Male | Male | Male,49 | 44 | 35,22 | 8 | 3,,,,,,,,,,,Flight from an Officer,No | No | No
FTN2020-0255,08/27/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Complaint of Injury/No Reportable Force Used,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,32,10,,,,,,,,,,,Tactical Deployments,No
FTN2018-0084,03/06/2018,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,Force (Take Down) | Other | Force (Take Down) | Other,L2 | L3 | L2 | L3,,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Male | Male | Male,61 | 61 | 49 | 49,16 | 16 | 31 | 31,,,,,,,,,,,Battery on Police Officer,No | No | No | No
FTN2018-0085,03/06/2018,FOB - Field Operations Bureau,4th District,1st Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser,L1,,Yes,Black,Male,33,6,,,,,,,,,,,Other,No
FTN2018-0088,03/08/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,30,10,,,,,,,,,,,Tactical Deployments,No
FTN2018-0096,03/14/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,30,8,,,,,,,,,,,Flight from an Officer,No
FTN2018-0097,03/17/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,33,7,,,,,,,,,,,Flight from an Officer,No
FTN2018-0100,03/19/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,34,8,,,,,,,,,,,Weapon Exhibited,No
FTN2019-0078,02/27/2019,FOB - Field Operations Bureau,7th District,Day Watch,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Rainy Conditions - Light,Takedown (no injury) | Takedown (no injury),L1 | L1,,Yes | Yes,White | White,Male | Male,33 | 38,8 | 6,,,,,,,,,,,Resisting Lawful Arrest,No | No
FTN2019-0081,03/02/2019,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Foggy Condition,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,,Yes | Yes | Yes | Yes,White | Hispanic | White | Black,Male | Male | Male | Male,44 | 39 | 36 | 28,14 | 11 | 7 | 5,,,,,,,,,,,Resisting Lawful Arrest,No | No | No | No
